BalancePlatform,AccountHolder,BalanceAccount,Category,Type,Status,Transfer Id,Transaction Id,Psp Payment Merchant Reference,Psp Payment Psp Reference,Psp Modification Psp Reference,Psp Modification Merchant Reference,Reference,Description,Booking Date,Booking Date TimeZone,Value Date,Value Date TimeZone,Currency,Amount,Starting Balance Currency,Starting Balance,Ending Balance Currency,Ending Balance,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,,,,,,,,,,,,,,,,USD,0.00,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257V0G8IPTG90L,T0257X0EBYMCIFN3,BELLA-ITALIA-001-ORD-01-026,P0257W0TWR628UPG,,,BELLA-ITALIA-001-ORD-01-026,Order BELLA-ITALIA-001-ORD-01-026,01/07/2024 08:25,EST,03/07/2024 00:00,EST,USD,24.74,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258G0PG6I1INXB,T0258I0BJ075IWVF,BELLA-ITALIA-001-ORD-01-033,P0258H09539DB4UI,,,BELLA-ITALIA-001-ORD-01-033,Order BELLA-ITALIA-001-ORD-01-033,01/07/2024 08:46,EST,03/07/2024 00:00,EST,USD,43.73,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025610B5YDPL32D,T025630MJR0QJA1Y,BELLA-ITALIA-001-ORD-01-004,P0256201K6DXUKC8,,,BELLA-ITALIA-001-ORD-01-004,Order BELLA-ITALIA-001-ORD-01-004,01/07/2024 08:50,EST,03/07/2024 00:00,EST,USD,46.68,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256G0RAAJK7HLM,T0256I003I54I1XS,BELLA-ITALIA-001-ORD-01-009,P0256H0RXN23K07L,,,BELLA-ITALIA-001-ORD-01-009,Order BELLA-ITALIA-001-ORD-01-009,01/07/2024 08:55,EST,03/07/2024 00:00,EST,USD,69.95,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257S0QWBW8LY8N,T0257U0L057OM1SM,BELLA-ITALIA-001-ORD-01-025,P0257T06AQ38SEPB,,,BELLA-ITALIA-001-ORD-01-025,Order BELLA-ITALIA-001-ORD-01-025,01/07/2024 09:01,EST,03/07/2024 00:00,EST,USD,76.28,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025640SG94II7T2,T02566067NROYI3C,BELLA-ITALIA-001-ORD-01-005,P0256507MDIZ87RV,,,BELLA-ITALIA-001-ORD-01-005,Order BELLA-ITALIA-001-ORD-01-005,01/07/2024 10:02,EST,03/07/2024 00:00,EST,USD,50.99,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258P0VR63BL15R,T0258R0M03S8WJ1V,BELLA-ITALIA-001-ORD-01-036,P0258Q0HDUVT47SK,,,BELLA-ITALIA-001-ORD-01-036,Order BELLA-ITALIA-001-ORD-01-036,01/07/2024 10:14,EST,03/07/2024 00:00,EST,USD,39.86,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257M0Y6X8A4W24,T0257O03QB1JI7JN,BELLA-ITALIA-001-ORD-01-023,P0257N0Y2SPDXJU1,,,BELLA-ITALIA-001-ORD-01-023,Order BELLA-ITALIA-001-ORD-01-023,01/07/2024 10:17,EST,03/07/2024 00:00,EST,USD,75.95,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257P07T8WIRABJ,T0257R0K2BBB9E38,BELLA-ITALIA-001-ORD-01-024,P0257Q0TUVZOVKQG,,,BELLA-ITALIA-001-ORD-01-024,Order BELLA-ITALIA-001-ORD-01-024,01/07/2024 10:44,EST,03/07/2024 00:00,EST,USD,66.5,,,,,,,,,,,,,,
