BalancePlatform,AccountHolder,BalanceAccount,AccountHolder Reference,AccountHolder Description,BalanceAccount Reference,BalanceAccount Description,Transfer Id,Transaction Id,Booking date,Booking date TimeZone,Value date,Value date TimeZone,Category,Type,Status,Currency,Balance (PC),Rolling Balance,Reference,Description,Counterparty Balance Account Id,Psp Payment Merchant Reference,Psp Payment Psp Reference,Payout Date
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00293V01WAAE5YSG,T0293X0Z0NOTRLJN,2024-07-01 08:01:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,45.66,45.66,GREEN-GARDEN-001-ORD-01-001,Order GREEN-GARDEN-001-ORD-01-001,,GREEN-GARDEN-001-ORD-01-001,P0293W0LX6T2OLH3,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029840Z8VQOFS7J,T029860PCRQYO7JM,2024-07-01 08:12:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,22.77,68.43,GREEN-GARDEN-001-ORD-01-049,Order GREEN-GARDEN-001-ORD-01-049,,GREEN-GARDEN-001-ORD-01-049,P029850ZOCDMUN6S,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295A0HD86IGURI,T0295C0QEN7YBU5A,2024-07-01 08:37:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,42.35,110.78,GREEN-GARDEN-001-ORD-01-015,Order GREEN-GARDEN-001-ORD-01-015,,GREEN-GARDEN-001-ORD-01-015,P0295B03EXHU4U2T,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296A0EGT8R7FOX,T0296C07NLPVGEWI,2024-07-01 08:43:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,28.82,139.6,GREEN-GARDEN-001-ORD-01-027,Order GREEN-GARDEN-001-ORD-01-027,,GREEN-GARDEN-001-ORD-01-027,P0296B09TGRLIL10,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029540F6SZLHI1Y,T02956092OOCV4GC,2024-07-01 08:46:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,16.34,155.94,GREEN-GARDEN-001-ORD-01-014,Order GREEN-GARDEN-001-ORD-01-014,,GREEN-GARDEN-001-ORD-01-014,P0295500M8YLA3ET,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297A0LU903F6GY,T0297C0KN50MT4SH,2024-07-01 08:47:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,22.58,178.52,GREEN-GARDEN-001-ORD-01-039,Order GREEN-GARDEN-001-ORD-01-039,,GREEN-GARDEN-001-ORD-01-039,P0297B0V5MK4ZBV3,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297S0CX7BX9BWM,T0297U0DCH5GB5MR,2024-07-01 09:16:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,28.73,207.25,GREEN-GARDEN-001-ORD-01-045,Order GREEN-GARDEN-001-ORD-01-045,,GREEN-GARDEN-001-ORD-01-045,P0297T0NKLJBFJQP,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294P00O3N3A2DZ,T0294R0AOP3PSR6I,2024-07-01 09:24:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,13.9,221.15,GREEN-GARDEN-001-ORD-01-009,Order GREEN-GARDEN-001-ORD-01-009,,GREEN-GARDEN-001-ORD-01-009,P0294Q0PZYTGA7DN,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296P05MDVKVALI,T0296R0CMO7FPWGK,2024-07-01 09:30:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,12.72,233.87,GREEN-GARDEN-001-ORD-01-032,Order GREEN-GARDEN-001-ORD-01-032,,GREEN-GARDEN-001-ORD-01-032,P0296Q0CSYYHS3KX,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294M07VR192ZGP,T0294O0F2EBY6LSH,2024-07-01 09:43:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,45.3,279.17,GREEN-GARDEN-001-ORD-01-008,Order GREEN-GARDEN-001-ORD-01-008,,GREEN-GARDEN-001-ORD-01-008,P0294N0VCQBB3HQT,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297M0OEQER8J72,T0297O0Q6FM8TFSG,2024-07-01 10:02:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,40,319.17,GREEN-GARDEN-001-ORD-01-043,Order GREEN-GARDEN-001-ORD-01-043,,GREEN-GARDEN-001-ORD-01-043,P0297N0A2DTC1HE3,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296J0FNTQE6JIX,T0296L0OSFHAZ7W7,2024-07-01 10:13:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,28.6,347.77,GREEN-GARDEN-001-ORD-01-030,Order GREEN-GARDEN-001-ORD-01-030,,GREEN-GARDEN-001-ORD-01-030,P0296K0SY27ZFIS2,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029870VIFXYDRO9,T029890EHVLWLVY2,2024-07-01 10:22:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,10.3,358.07,GREEN-GARDEN-001-ORD-01-050,Order GREEN-GARDEN-001-ORD-01-050,,GREEN-GARDEN-001-ORD-01-050,P029880S5G67P2VR,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00298A0CO0FTN6JH,T0298C0A9HB0SUJT,2024-07-01 10:29:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,31.49,389.56,GREEN-GARDEN-001-ORD-01-051,Order GREEN-GARDEN-001-ORD-01-051,,GREEN-GARDEN-001-ORD-01-051,P0298B0NKEB0HCZT,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00298D0OWP7Q20M8,T0298F0UBIUJCXGP,2024-07-01 10:48:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,31.33,420.89,GREEN-GARDEN-001-ORD-01-052,Order GREEN-GARDEN-001-ORD-01-052,,GREEN-GARDEN-001-ORD-01-052,P0298E09PASUYXUX,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029710CHHR09UMO,T029730EXDFS2BNV,2024-07-01 10:49:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,21.97,442.86,GREEN-GARDEN-001-ORD-01-036,Order GREEN-GARDEN-001-ORD-01-036,,GREEN-GARDEN-001-ORD-01-036,P029720DDKNE79YY,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296D05Q3O0EEYZ,T0296F0BWC9Z41M3,2024-07-01 10:51:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,20.88,463.74,GREEN-GARDEN-001-ORD-01-028,Order GREEN-GARDEN-001-ORD-01-028,,GREEN-GARDEN-001-ORD-01-028,P0296E07HK8W4HQO,2024-07-03 07:00:00
